Allocation Month,Total Time Of Allocation,Nodes Alocated
2017/1,0.0,8
2017/2,0.0,8
2017/3,0.0,8
2017/4,0.0,8
2017/5,0.0,8
2017/6,0.0,8
2017/7,0.0,8
2017/8,0.0,8
2017/9,0.0,8
2017/10,0.0,8
2017/11,0.0,8
2017/12,0.0,8
2018/1,2.0,8
2018/2,42.72,8
2018/3,4.0,8
2018/4,0.0,8
2018/5,0.0,8
2018/6,0.0,8
2018/7,55.86,8
2018/8,5.98,8
2018/9,31.99,8
2018/10,6.0,8
2018/11,0.0,8
2018/12,0.0,8
