Allocation Month,Total Time Of Allocation,Nodes Alocated
1/2017,0.0,8
2/2017,0.0,8
3/2017,0.0,8
4/2017,0.0,8
5/2017,0.0,8
6/2017,145.17,8
7/2017,154.76,8
8/2017,208.71,8
9/2017,230.06,8
10/2017,204.02,8
11/2017,256.59,8
12/2017,239.85,8
1/2018,215.99,8
2/2018,279.53,8
3/2018,672.48,8
4/2018,105.41,8
5/2018,76.93,8
6/2018,281.5,8
7/2018,212.14,8
8/2018,402.04,8
9/2018,452.0,8
10/2018,33.87,8
11/2018,0.0,8
12/2018,0.0,8
