Allocation Month,Total Time Of Allocation,Nodes Alocated
2017/1,8.33,8
2017/2,0.0,8
2017/3,3.44,8
2017/4,2.0,8
2017/5,0.0,8
2017/6,0.0,8
2017/7,17.94,8
2017/8,0.0,8
2017/9,9.98,8
2017/10,7.99,8
2017/11,0.0,8
2017/12,0.0,8
2018/1,0.0,8
2018/2,0.0,8
2018/3,0.0,8
2018/4,0.0,8
2018/5,0.0,8
2018/6,0.0,8
2018/7,0.0,8
2018/8,0.0,8
2018/9,0.0,8
2018/10,0.0,8
2018/11,0.0,8
2018/12,0.0,8
