Allocation Month,Total Time Of Allocation,Nodes Alocated
1/2017,0.0,16
2/2017,0.0,16
3/2017,6.48,16
4/2017,8.98,16
5/2017,0.0,16
6/2017,0.0,16
7/2017,0.0,16
8/2017,3.91,16
9/2017,13.91,16
10/2017,0.0,16
11/2017,2.0,16
12/2017,0.0,16
1/2018,0.0,16
2/2018,37.91,16
3/2018,9.99,16
4/2018,0.0,16
5/2018,2.0,16
6/2018,0.0,16
7/2018,205.25,16
8/2018,207.48,16
9/2018,39.94,16
10/2018,2.0,16
11/2018,0.0,16
12/2018,0.0,16
